Size	   Bubble Sort	Selection Sort	Insertion Sort
50	109562.92	78632.38	36428.105
100	118769.06	16758.686	88229.82
150	75794.81	28200.95	26286.635
200	126898.28	42370.504	27787.42
250	193295.58	61075.164	41106.074
300	280006.4	87887.32	59137.12
350	347674.3	105239.82	70072.71
400	461907.0	138812.31	93263.16
450	603322.8	184146.16	126827.18
500	760112.2	221438.56	154125.9
550	858709.6	248616.98	172937.22
600	999322.0	283234.84	200296.77
650	1180853.4	337727.25	238015.94
700	1379629.1	380197.28	270831.1
750	1578450.2	439866.03	314061.47
800	1843306.4	504705.8	362751.3
850	2044108.8	569669.94	399246.53
900	2234339.5	604151.94	436050.38
950	2494905.5	680101.5	484488.62
1000	2746429.5	732659.4	529450.56
